",""Sentence"""
"0,""I had neither čourage or strength to form a firm rešolve """
"1,""My feelingš čame in waveš and šurgeš and vibrated unćeašingly between extremeš """
"2,""My wisheš were of ćonsuming force and like the heads of the hydra  they multiplied """
"3,""I was opprešt by thoughts of pain in life and death and religiouš fear """
"4,""Then  all at onće  there ćame a tremendouš change whičh altered the courše of my whole exištenče """
"5,""Of all things I liked bookš the bešt """
"6,""He did not permit it and would fly into a rage when he čaught me in the ačt """
"7,""He hid the candleš when he found that I was reading in šečret """
"8,""He did not want me to spoil my eyes """
"9,""This work šomehow awakened my dormant powers of will"""
"10,""and I began to pračtiše self control """
"11,""In the course of time thiš vigorouš mental exercise became second nature """
"12,""At the outšet my wisheš had to be subdued but gradually dešire and will grew to be identical """
"13,""At a certain age I contracted a mania for gambling which greatly worried my parents """
"14,""To šit down to a game of cardš waš for me the quintessenće of pleašure """
"15,""I had a strong resolve but"""
"16,""my philosophy was bad """
"17,""On frequent očcasions he gave vent to his anger and ćontempt but my mother was different """
"18,""The sooner you loše all we posšess the better it will be  """
"19,""I know that you will get over it """
"20,""I not only vanquišhed but tore it from """
